"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Ly6c2"	0	-3.03336191877402	0.229	0.813	0
"Ly6c1"	0	-3.13445360113968	0.184	0.739	0
"Plac8"	0	-2.99526069236848	0.327	0.824	0
"C1qb"	0	2.92499742341655	0.706	0.212	0
"C1qa"	0	3.15929622158798	0.708	0.219	0
"Gbp4"	0	-2.24452145461413	0.307	0.779	0
"C1qc"	0	2.96487056936922	0.72	0.25	0
"Ms4a8a"	0	-3.13070221136947	0.1	0.566	0
"Il1b"	0	-2.58380436761551	0.395	0.819	0
"C3"	0	-1.93956081392671	0.182	0.59	0
"Ifitm6"	0	-2.55682791300105	0.254	0.658	0
"Glipr2"	0	-1.76273892710077	0.241	0.636	0
"Ly6i"	0	-3.45040861942598	0.066	0.449	0
"Thbs1"	0	-2.38374194374922	0.267	0.647	0
"Gm14548"	0	-2.02458308389468	0.222	0.598	0
"Plbd1"	0	-1.52322943071167	0.426	0.797	0
"Gbp2"	0	-1.94764771908144	0.408	0.771	0
"Ifi47"	0	-1.76105268595019	0.344	0.706	0
"Ifitm1"	0	-1.55250737610194	0.459	0.817	0
"Rgs10"	0	1.70560737590492	0.671	0.318	0
"Emb"	0	-1.41602830621489	0.459	0.81	0
"Hp"	0	-3.93881559503526	0.044	0.378	0
"Samhd1"	0	-1.75469516907913	0.569	0.9	0
"Pmp22"	0	4.02335707860756	0.368	0.041	0
"Nfil3"	0	-1.39637803470744	0.468	0.794	0
"Tap1"	0	-1.2723329544968	0.494	0.808	0
"Sell"	0	-3.99718956863976	0.026	0.339	0
"H2-Eb1"	0	-1.66618858122001	0.587	0.888	0
"Irf1"	0	-1.3999081564402	0.513	0.814	0
"Stat1"	0	-1.26699622213652	0.561	0.847	0
"H2-Aa"	0	-1.67496741283561	0.673	0.921	0
"Rpl12"	0	1.35360891611701	0.938	0.691	0
"Clec4n"	0	-1.41654833962619	0.637	0.882	0
"Ly6a"	0	-1.37691294285885	0.66	0.903	0
"AW112010"	0	-1.50701296462952	0.689	0.918	0
"Gatm"	0	2.07295356040939	0.722	0.506	0
"H2-Ab1"	0	-1.5006901191052	0.734	0.93	0
"Rpl13a"	0	0.938125575160433	0.973	0.85	0
"Rpl10a"	0	1.02946982888238	0.978	0.864	0
"Gm10260"	0	0.982242437060455	0.971	0.858	0
"S100a11"	0	-1.57982328024883	0.893	0.985	0
"Junb"	0	-1.12328963989177	0.886	0.977	0
"Cd74"	0	-1.39144311641148	0.883	0.972	0
"Rpl36a"	0	0.967817008009467	0.983	0.897	0
"Ctsc"	0	-0.893850575819338	0.914	0.994	0
"Ly6e"	0	-0.902986844035146	0.905	0.984	0
"Rpl14"	0	1.02505480362481	0.985	0.906	0
"Rpl3"	0	1.01862493565845	0.993	0.93	0
"Ifitm2"	0	-1.00373472765134	0.921	0.982	0
"Rps21"	0	0.807292478828767	0.994	0.949	0
"Rps23"	0	0.790121512483829	0.988	0.944	0
"Rpl17"	0	0.824284574523679	0.994	0.954	0
"Rps12"	0	0.954014526683657	0.995	0.961	0
"Rpl36"	0	0.804340278833603	0.992	0.96	0
"Rpl22"	0	0.691876261742629	0.995	0.964	0
"Rps19"	0	0.951795147164772	0.996	0.965	0
"Rpl26"	0	0.753700029497026	0.996	0.968	0
"Cebpb"	0	-0.782864171663141	0.97	0.995	0
"Rpl10"	0	0.768242679763155	0.996	0.972	0
"Rps15a"	0	0.788653718058249	0.996	0.977	0
"Rpl21"	0	0.780009377403197	0.999	0.981	0
"Rps11"	0	0.753936824173204	0.997	0.979	0
"Rpl35"	0	0.873059623234651	0.998	0.981	0
"Rpl39"	0	0.819299985610101	0.999	0.984	0
"Rpl28"	0	0.77456266857845	0.998	0.984	0
"Rplp1"	0	0.8934602833975	0.999	0.986	0
"Rps5"	0	0.863518033229528	0.998	0.987	0
"Rpl30"	0	0.68870167966136	0.999	0.989	0
"Rps26"	0	0.762045263954804	0.999	0.991	0
"Rpl11"	0	0.637658886177878	0.999	0.992	0
"Rpl32"	0	0.988957238193037	0.999	0.992	0
"Rpl27a"	0	0.729810696097319	0.999	0.994	0
"Rps8"	0	0.78639033855382	1	0.997	0
"Rpl13"	0	0.702889463863808	1	0.998	0
"Rpl19"	0	0.590200210160019	1	0.998	0
"Rpl23"	0	0.752571670125881	1	0.998	0
"Rps2"	0	0.709196819235582	1	0.998	0
"H2-D1"	0	-0.598205105283476	0.999	1	0
"Rps20"	0	0.682632799665938	0.999	0.999	0
"Rps24"	0	0.701886250163146	1	1	0
"Tmsb10"	0	-1.24065985892271	0.999	0.999	0
"Rpl35a"	4.44659081257122e-323	0.664002243108942	0.998	0.985	5.59558987853962e-319
"Timp2"	6.42285339593621e-323	2.43892184555942	0.522	0.173	8.08251871344612e-319
"Rpl41"	9.29337479827385e-321	0.589961371912707	1	1	1.16947828461478e-316
"Fgl2"	2.29197053105754e-320	-1.82972928565969	0.291	0.651	2.88421571628281e-316
"Rpl29"	4.16991405090012e-320	0.623209262072668	0.997	0.992	5.24741984165271e-316
"Mif"	1.11968121054418e-318	0.973577195779559	0.981	0.829	1.4090068353488e-314
"Rplp2"	2.56989727881262e-318	0.637620781996345	0.998	0.979	3.2339587356578e-314
"Rpl37a"	6.08433443737516e-318	0.752358919266379	0.997	0.98	7.6565264559929e-314
"Ifitm3"	9.13127185987333e-318	-0.690029664649212	0.978	0.996	1.14907925084646e-313
"Rps14"	1.15514721886525e-317	0.621513766535997	0.998	0.987	1.45363726022003e-313
"Mcemp1"	3.09730395416184e-314	-1.95648237958051	0.172	0.543	3.89764729591726e-310
"Rps3"	2.00278394389475e-312	0.607098693961364	0.999	0.993	2.52030331499715e-308
"Rpl18a"	1.90309185202456e-308	0.622403896419999	0.999	0.992	2.39485078658771e-304
"Rpl6"	5.26503757814514e-308	0.668392397898763	0.998	0.988	6.62552328833785e-304
"Zfp36"	1.26337526175626e-306	-1.08936983901019	0.849	0.957	1.58983142939408e-302
"Ms4a4c"	1.48171786074782e-306	-1.61567512522414	0.326	0.687	1.86459375596506e-302
"Rps4x"	1.50543613150688e-306	0.702639888263	0.998	0.991	1.89444082788825e-302
"Pmepa1"	1.44341622301517e-305	2.63263045186652	0.441	0.107	1.81639497504228e-301
"Trem2"	2.74691301220074e-304	1.05123254583772	0.886	0.632	3.45671533455341e-300
"Serpinb6a"	1.84195993933224e-302	2.46255788508568	0.482	0.147	2.3179223876557e-298
"Rps27a"	3.48982335649325e-298	0.600534975971863	1	0.997	4.39159371181111e-294
"Rps7"	5.2360841995468e-298	0.676502514514856	0.998	0.978	6.5890883567097e-294
"Rps13"	3.93485602429743e-297	0.668211734749533	0.997	0.984	4.95162282097589e-293
"Prtn3"	9.29221401243385e-297	-3.17531311743723	0.059	0.356	1.16933221132468e-292
"Upp1"	3.85007569781199e-296	-1.81390608805956	0.308	0.641	4.84493525812661e-292
"Rpl37"	9.47203893663888e-295	0.646650736097369	1	0.994	1.19196137978664e-290
