"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Cd274"	0	-1.1999484788031	0.369	0.808	0
"Fth1"	0	-1.41701030500321	1	1	0
"Mmp12"	0	-3.05123054818861	0.163	0.635	0
"mt-Atp6"	0	0.979029607613066	1	0.984	0
"mt-Co2"	0	1.02899053273742	1	0.982	0
"mt-Co3"	0	0.97757682779721	1	0.981	0
"mt-Cytb"	0	1.30966079383546	0.999	0.93	0
"mt-Nd1"	0	1.20548786503441	0.975	0.767	0
"mt-Nd2"	0	1.03931318644522	0.944	0.697	0
"mt-Nd4l"	0	1.38466404156726	0.993	0.833	0
"Esd"	1.77917789014552e-315	-1.02053214042876	0.869	0.957	2.23891745695912e-311
"Man2b1"	4.62647202518876e-299	0.887887505164929	0.849	0.501	5.82195239649753e-295
"Hilpda"	4.3211826373732e-295	-1.49084282108445	0.426	0.802	5.43777623087044e-291
"Eif1"	3.91514419165421e-293	-0.724583077310105	1	1	4.92681745077766e-289
"Nos2"	4.00373113985608e-293	-1.39461753741456	0.175	0.574	5.03829526639489e-289
"Sod2"	2.20901667471907e-292	-1.44891747140249	0.514	0.757	2.77982658346648e-288
"Grina"	5.76506428176552e-287	-1.18808687991573	0.874	0.981	7.25475689217373e-283
"mt-Nd4"	1.94178101321245e-286	0.87048078583596	0.938	0.716	2.44353722702655e-282
"Ninj1"	5.2477073569409e-280	-0.923751452716522	0.77	0.956	6.60371493797443e-276
"mt-Nd3"	5.89554649424348e-273	0.910815106214937	0.752	0.377	7.41895570835599e-269
"Cstb"	6.47923136999472e-270	-0.745711523279314	0.981	0.996	8.15346475600136e-266
"Il1rn"	2.06503808348417e-269	-1.62603733165162	0.577	0.85	2.59864392425648e-265
"Pld4"	5.14930053543862e-268	0.863837925267611	0.846	0.529	6.47987979379596e-264
"Inhba"	6.10344858606671e-265	-1.68418788390828	0.047	0.36	7.68057970070635e-261
"Plin2"	5.68139718787403e-260	-0.982751645441252	0.867	0.972	7.14947022122067e-256
"Mif"	8.80492755401636e-253	-0.74165326178046	0.981	0.994	1.10801208339742e-248
"Ftl1"	7.18508390540949e-252	-0.734757296504506	1	1	9.0417095865673e-248
"Il7r"	1.66982974471651e-245	-1.00338817659057	0.285	0.641	2.10131375075126e-241
"Gatm"	2.37575559362261e-241	1.47467716145127	0.831	0.508	2.98965083901469e-237
"Slc2a1"	1.86694878986787e-240	-1.09895615549943	0.56	0.845	2.34936835716972e-236
"Tyrobp"	2.09827975549027e-236	0.480868551605677	0.999	0.997	2.64047524430895e-232
"Ccnd1"	3.21540343798239e-236	0.869672247722216	0.48	0.117	4.04626368635704e-232
"Hmox1"	3.07989325431463e-235	-1.71019635541492	0.604	0.882	3.87573767122953e-231
"Tpi1"	2.14606106744007e-232	-0.690031353879939	0.978	0.992	2.70060324726659e-228
"Lgals1"	6.59751708158704e-228	0.821274116394926	0.997	0.958	8.30231549546914e-224
"S100a6"	1.3175863864004e-227	0.830007085015297	0.988	0.979	1.65805070864627e-223
"Prdx6"	2.05723956412963e-227	-1.19283877544066	0.752	0.9	2.58883026750072e-223
"mt-Nd5"	2.55150211611958e-217	0.736324815764158	0.892	0.675	3.21081026292488e-213
